tool		Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 1.0.2	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 0.1.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0	Jip jip 1.0.0
run set		jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-api.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-i1-f-c.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java	jip-yices2.SV-COMP23_assert_oox.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
algorithms/InsertionSort-FunSat02.yml	true	TIMEOUT (true)	21.006317746	21.008865586001775	146.550784	TIMEOUT (true)	20.365087755	40.40591317699909	159.334400	unknown	0.019133677	0.06659973100067873	30.040064
algorithms/InsertionSort-FunUnsat01.yml	false	false	0.044433935	0.04475387899947236	21.958656	false	0.036204824	0.06787693600017519	38.117376	false	0.030129125	0.04005620999942039	30.838784
algorithms/InsertionSort-MemSat01.yml	true	TIMEOUT (true)	21.00615777	21.008811495001282	146.141184	TIMEOUT (true)	20.367559895	40.397125842000605	143.904768	TIMEOUT (true)	21.006373791	21.008950409000136	156.557312
algorithms/InsertionSort-MemUnsat01.yml	false	false	0.01821942	0.018501152999306214	20.860928	false	0.01966639	0.03736481500163791	37.097472	false	0.019622635	0.0796926959992561	29.761536
algorithms/MergeSortIterative-FunSat01.yml	true	TIMEOUT (true)	21.006408589	21.009160899000562	157.855744	TIMEOUT (true)	20.366972224	40.203677321000214	154.460160	TIMEOUT (true)	21.006857246	21.00941691600019	168.460288
algorithms/MergeSortIterative-FunSat02.yml	true	TIMEOUT (true)	21.006488493	21.009057223000127	159.338496	TIMEOUT (true)	20.3617101	40.550317696001	172.654592	TIMEOUT (true)	20.973064391	21.009449707000385	167.665664
algorithms/MergeSortIterative-FunUnsat01.yml	false	false	0.583513325	0.5839169529990613	34.975744	false	0.336999868	0.6619317309996404	51.138560	false	0.299512589	0.29991389000042545	44.081152
algorithms/MergeSortIterative-MemSat01.yml	false	TIMEOUT (true)	21.006168684	21.0088693839989	160.477184	TIMEOUT (true)	20.365498178	40.36795215500024	156.364800	TIMEOUT (true)	21.006943983	21.009662823000326	169.836544
algorithms/MergeSortIterative-MemUnsat01.yml	false	false	0.026346473	0.026715182999396347	21.889024	false	0.029712375	0.06105602099887619	37.957632	false	0.02788971	0.0941802759998609	30.580736
algorithms/RedBlackTree-FunSat01.yml	true	TIMEOUT (true)	21.00549474	21.008128843001032	146.165760	TIMEOUT (true)	20.364972356	40.429979882001135	192.307200	TIMEOUT (true)	21.008228075	21.010707593000006	188.813312
algorithms/RedBlackTree-FunUnsat01.yml	false	false	0.040303091	0.040676001999599976	21.868544	false	0.04547741	0.09175195500029076	38.092800	false	0.043580005	0.05299439299960795	30.679040
algorithms/RedBlackTree-MemSat01.yml	true	TIMEOUT (true)	21.007436622	21.009757437999724	171.208704	TIMEOUT (true)	20.373873925	40.55389307199948	400.199680	TIMEOUT (true)	20.982959358	21.019940948000112	400.801792
algorithms/RedBlackTree-MemUnsat01.yml	false	false	0.04874727	0.0490906270006235	22.175744	false	0.047386374	0.09204145799958496	38.391808	false	0.04234666	0.06435920399962924	31.072256
algorithms/SortedListInsert-FunSat01.yml	true	TIMEOUT (true)	21.028058525	21.030562502000976	721.100800	TIMEOUT (true)	20.399989828	40.46483465200072	1021.403136	TIMEOUT (true)	20.985578351	21.048820476999936	891.965440
algorithms/SortedListInsert-FunSat02.yml	true	TIMEOUT (true)	21.026915785	21.029366001999733	702.275584	TIMEOUT (true)	20.401731511	40.472758312000224	1068.269568	TIMEOUT (true)	21.000835849	21.050783542000318	970.031104
algorithms/SortedListInsert-FunUnsat01.yml	false	false	0.023325247	0.023679656000240357	20.987904	false	0.024052612	0.049828929999421234	37.150720	false	0.022959788	0.07773279800039745	29.761536
algorithms/SortedListInsert-MemSat01.yml	true	TIMEOUT (true)	21.027047839	21.02951300099994	697.069568	TIMEOUT (true)	20.401037874	40.46967930699975	984.477696	TIMEOUT (true)	21.051428677	21.05257228099981	843.337728
algorithms/SortedListInsert-MemUnsat01.yml	false	TIMEOUT (true)	21.027382067	21.029756545000055	696.782848	TIMEOUT (true)	20.400206221	40.489941155999986	972.890112	TIMEOUT (true)	21.04537274	21.04801723899982	693.559296
